goos: darwin
goarch: arm64
pkg: github.com/timescale/promscale/pkg/clockcache
BenchmarkInsertOverCapacity/500000-10       	 5889219	       185.8 ns/op	   5889219 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6418515	       177.9 ns/op	   6418515 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3263472	       364.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3428080	       359.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3324338	       364.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3256748	       357.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3405139	       353.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3322663	       365.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3291145	       362.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3285982	       361.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3318685	       362.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3285190	       366.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3329688	       359.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3454395	       347.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3456465	       348.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3440365	       382.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3366338	       374.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3283423	       359.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3342684	       361.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3432507	       349.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3313776	       362.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3289093	       364.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/5000-10           	 3741247	       329.5 ns/op	       0 B/op	       0 allocs/op
